Pipe NPS,Actual Outside Diameter (in),Pipe Schedule,Wall Thickness (in),Weight (lb/ft),Weight (kg/m)
,,,,,
,,,,,
,,,,,
0.125,0.405,10S,0.049,0.186,0.277
,,,,,
0.125,0.405,Std.,0.068,0.244,0.363
,,,,,
0.125,0.405,X-Stg.,0.095,0.314,0.467
,,,,,
,,,,,
,,,,,
0.25,0.54,10S,0.065,0.33,0.491
,,,,,
0.25,0.54,Std.,0.088,0.424,0.631
,,,,,
0.25,0.54,X-Stg.,0.119,0.535,0.796
,,,,,
,,,,,
,,,,,
0.375,0.675,10S,0.065,0.423,0.629
,,,,,
0.375,0.675,Std.,0.091,0.567,0.844
,,,,,
0.375,0.675,X-Stg.,0.126,0.738,1.098
,,,,,
,,,,,
,,,,,
0.5,0.84,10S,0.083,0.671,0.999
,,,,,
0.5,0.84,Std.,0.109,0.85,1.265
,,,,,
0.5,0.84,X-Stg.,0.147,1.087,1.618
,,,,,
0.5,0.84,160,0.138,1.31,1.949
,,,,,
0.5,0.84,XX-Stg.,0.294,1.714,2.551
,,,,,
,,,,,
,,,,,
0.75,1.05,10S,0.083,0.857,1.275
,,,,,
0.75,1.05,Std.,0.113,1.13,1.682
,,,,,
0.75,1.05,X-Stg.,0.154,1.473,2.192
,,,,,
0.75,1.05,160,0.219,1.94,2.887
,,,,,
0.75,1.05,XX-Stg.,0.308,2.44,3.631
,,,,,
,,,,,
,,,,,
1,1.315,10S,0.109,1.404,2.089
,,,,,
1,1.315,Std.,0.133,1.678,2.497
,,,,,
1,1.315,X-Stg.,0.179,2.171,3.231
,,,,,
1,1.315,160,0.25,2.85,4.241
,,,,,
1,1.315,XX-Stg.,0.358,3.659,5.445
,,,,,
,,,,,
,,,,,
1.25,1.66,10S,0.109,1.806,2.688
,,,,,
1.25,1.66,Std.,0.14,2.272,3.381
,,,,,
1.25,1.66,-,0.191,2.996,4.459
,,,,,
1.25,1.66,-,0.25,3.764,5.601
,,,,,
1.25,1.66,-,0.382,5.214,7.759
,,,,,
,,,,,
,,,,,
1.5,1.9,10S,0.109,2.085,3.103
,,,,,
1.5,1.9,Std.,0.145,2.717,4.043
,,,,,
1.5,1.9,X-Stg.,0.2,3.631,5.404
,,,,,
1.5,1.9,160,0.281,4.862,7.235
,,,,,
1.5,1.9,XX-Stg.,0.4,6.408,9.536
,,,,,
,,,,,
,,,,,
2,2.375,10S,0.109,2.638,3.926
,,,,,
2,2.375,Std.,0.154,3.652,5.435
,,,,,
2,2.375,X-Stg.,0.218,5.022,7.474
,,,,,
2,2.375,-,0.25,5.673,8.442
,,,,,
2,2.375,160,0.344,7.45,11.087
,,,,,
2,2.375,XX-Stg.,0.436,9.029,13.437
,,,,,
,,,,,
,,,,,
2.5,2.875,10S,0.12,3.53,5.253
,,,,,
2.5,2.875,Std.,0.203,5.79,8.616
,,,,,
2.5,2.875,X-Stg.,0.276,7.66,11.399
,,,,,
2.5,2.875,160,0.375,10.01,14.897
,,,,,
2.5,2.875,XX-Stg.,0.552,13.69,20.373
,,,,,
,,,,,
,,,,,
3,3.5,10S,0.12,4.33,6.444
,,,,,
3,3.5,API,0.125,4.52,6.727
,,,,,
